a,b,c,d,e,f,g,h,out
0.976419697,0.150639318,0.223944726,0.206458589,0.847233025,0.082850904,0.236736265,0.714576056,TRUE
0.840908994,0.191783302,0.232659968,0.152994489,0.874597613,0.020072477,0.780982899,0.231366023,TRUE
0.892109449,0.181843628,0.143566508,0.030294237,0.756988486,0.100072302,0.724689603,0.814531112,FALSE
0.741471664,0.024738805,0.064568603,0.175579986,0.817630658,0.94308561,0.179046197,0.124824255,TRUE
0.841430357,0.203397588,0.099781738,0.279795696,0.816469233,0.828783071,0.153561846,0.823598997,FALSE
0.874573876,0.031611445,0.271638166,0.031249669,0.707372542,0.737605886,0.754860809,0.044610481,FALSE
0.924607645,0.025813952,0.280233079,0.205110478,0.944578591,0.782904735,0.986216316,0.899321352,TRUE
0.804790739,0.113805651,0.046969273,0.993840789,0.15545237,0.148469981,0.235425621,0.248628754,FALSE
0.875699852,0.152893389,0.297119782,0.87118989,0.212599936,0.153375037,0.109847363,0.905787595,TRUE
0.789713226,0.102776431,0.259087803,0.734462661,0.193984934,0.276677251,0.91608854,0.208326982,TRUE
0.934488267,0.034988971,0.092529529,0.999843153,0.057585837,0.062578568,0.918753003,0.951820161,FALSE
0.724160895,0.141913617,0.163566938,0.777334397,0.153025775,0.846341824,0.026333208,0.141901176,TRUE
0.850132821,0.087371863,0.052589377,0.779770358,0.117847867,0.87257255,0.017520431,0.941966859,FALSE
0.952757704,0.212221333,0.068066105,0.959712759,0.153779854,0.791448778,0.969086424,0.239091293,FALSE
0.976038986,0.282858933,0.069637385,0.883155668,0.001489183,0.917677723,0.893550008,0.942005844,TRUE
0.750174274,0.106415195,0.259708259,0.938198905,0.95142007,0.282299213,0.287554193,0.179896749,TRUE
0.895612278,0.278591281,0.030165764,0.850677256,0.902006781,0.059338862,0.208434929,0.926291646,FALSE
0.959604595,0.048225523,0.237620649,0.823463598,0.92169738,0.040346527,0.819875481,0.159186577,FALSE
0.970709323,0.281641195,0.152596814,0.724337295,0.941571507,0.125911946,0.818271527,0.768067625,TRUE
0.826866152,0.278902982,0.059005831,0.969153822,0.9860209,0.838917011,0.247589766,0.257111856,FALSE
0.753455621,0.026200973,0.242950397,0.769178039,0.753695463,0.713469268,0.2304087,0.894095921,TRUE
0.706355911,0.197070387,0.039139618,0.967305852,0.763178972,0.712119153,0.850966056,0.276052717,TRUE
0.73879025,0.066199483,0.171935622,0.758510533,0.714325275,0.766614279,0.961110896,0.956434514,FALSE
0.99377779,0.258077987,0.918970011,0.005968762,0.162842916,0.278904085,0.121578101,0.058002674,FALSE
0.820303042,0.299882134,0.728996383,0.257586457,0.07948151,0.142355603,0.114354013,0.944599327,TRUE
0.955141669,0.061893939,0.886037546,0.079865265,0.037218508,0.288641053,0.895645875,0.129434595,TRUE
0.882655026,0.094713275,0.838143008,0.043848917,0.162838286,0.089879606,0.702893336,0.70646985,FALSE
0.758628344,0.119286501,0.706844137,0.240459291,0.275619602,0.93070835,0.154778932,0.1576728,TRUE
0.73988007,0.167065258,0.889695631,0.198391236,0.182221335,0.798662983,0.178486674,0.885578862,FALSE
0.963537295,0.259654372,0.705644717,0.168231205,0.055325221,0.828862141,0.973428936,0.125095085,FALSE
0.861774443,0.091995587,0.761043102,0.116312204,0.207666237,0.911129541,0.952233424,0.839539356,TRUE
0.836433153,0.121761646,0.816156942,0.025310879,0.996436156,0.097158182,0.052811148,0.23180094,TRUE
0.94458661,0.15817703,0.751363012,0.262626924,0.8184195,0.256740433,0.116048239,0.777365797,FALSE
0.872013442,0.176254248,0.794234953,0.006573326,0.882815811,0.072500964,0.870659866,0.041852657,FALSE
0.888329178,0.178229261,0.881797376,0.216379408,0.853249705,0.020803478,0.987243261,0.988604508,TRUE
0.711115264,0.090628601,0.986507313,0.061006225,0.906875052,0.868957508,0.262878082,0.01617258,FALSE
0.747880492,0.143076344,0.890095058,0.177950832,0.917803106,0.789354346,0.263419441,0.747913852,TRUE
0.997936016,0.238750297,0.890012592,0.170573726,0.7830221,0.827588445,0.862787997,0.251244203,TRUE
0.855164042,0.110922111,0.78348584,0.106931597,0.989672564,0.790127645,0.807780898,0.964523836,FALSE
0.782291172,0.043407699,0.720049622,0.963340212,0.149421232,0.128047429,0.219299336,0.205093543,TRUE
0.92792185,0.116008123,0.868701813,0.93469037,0.096950669,0.282542802,0.101362969,0.750604331,FALSE
0.748433954,0.136263373,0.911567196,0.959581219,0.111471758,0.278891263,0.943998424,0.209279165,FALSE
0.961561502,0.143865755,0.734581882,0.914186184,0.063481574,0.296596525,0.985277916,0.856415955,TRUE
0.994243342,0.217361151,0.957778148,0.808428476,0.112119118,0.875985088,0.027064812,0.289172615,FALSE
0.819740912,0.240940271,0.850104109,0.744457426,0.095371728,0.730892177,0.260319233,0.84056255,TRUE
0.988073367,0.244962344,0.922957634,0.955629171,0.203788104,0.827474643,0.897178895,0.216932303,TRUE
0.878954979,0.125841835,0.871830693,0.983434031,0.179601307,0.743093375,0.879783683,0.754444624,FALSE
0.936373212,0.286413431,0.884948861,0.92651681,0.777565311,0.058305523,0.040196514,0.078774093,FALSE
0.902590869,0.285941678,0.719945607,0.951299199,0.77982292,0.271363968,0.163321831,0.779758463,TRUE
0.937756566,0.158693535,0.714445969,0.859325343,0.977371874,0.114067411,0.845157016,0.082487578,TRUE
0.739045232,0.194950969,0.916922067,0.860376254,0.842082673,0.161563669,0.918230351,0.709782755,FALSE
0.993616974,0.251421984,0.785194875,0.887313212,0.79381724,0.936247862,0.166038764,0.209546365,TRUE
0.729913677,0.131285474,0.810024094,0.909614814,0.775791332,0.761176785,0.252929228,0.715684436,FALSE
0.793410273,0.0688781,0.889426651,0.733469873,0.883497394,0.948063022,0.832137136,0.026539221,FALSE
0.94819281,0.065936066,0.837008991,0.852456993,0.992365427,0.967717415,0.717644335,0.761268121,TRUE
0.762983436,0.825222264,0.05398926,0.287880502,0.187195702,0.030302782,0.22041002,0.125481801,FALSE
0.997206871,0.904238665,0.149032498,0.059659124,0.055554371,0.131480958,0.199603971,0.744216382,TRUE
0.718633054,0.861048904,0.105471091,0.207437885,0.089511084,0.021401608,0.88682748,0.222906783,TRUE
0.990729668,0.719777599,0.223656171,0.19107166,0.125897687,0.038704526,0.838129461,0.906755312,FALSE
0.771044777,0.821375547,0.058452909,0.234701515,0.14187514,0.875499034,0.241872674,0.161880423,TRUE
0.878908246,0.888944732,0.046377186,0.046640311,0.245055954,0.858424931,0.251581056,0.914709002,FALSE
0.897821129,0.772896426,0.027932046,0.223198218,0.07236037,0.822576968,0.771834044,0.068452132,FALSE
0.817730035,0.896816527,0.007220562,0.126708845,0.173742319,0.900422363,0.961439986,0.872759347,TRUE
0.863476168,0.769442701,0.061124429,0.009644293,0.940430469,0.124933904,0.092203747,0.001886918,TRUE
0.976304615,0.801315056,0.215200359,0.036164604,0.710808637,0.100962189,0.047821649,0.987959084,FALSE
0.881507522,0.947862827,0.115492926,0.131278051,0.896537211,0.123318962,0.938308933,0.045090349,FALSE
0.801286539,0.758006333,0.178186917,0.258675693,0.769145846,0.020886637,0.722675269,0.915430866,TRUE
0.725189181,0.836566441,0.250023639,0.016738378,0.785348618,0.822218001,0.081216463,0.136337832,FALSE
0.87588434,0.829204958,0.014838804,0.198146693,0.785672138,0.702184047,0.13433544,0.725832645,TRUE
0.854060479,0.711378422,0.212424111,0.125579985,0.984363876,0.772764901,0.719364392,0.046508496,TRUE
0.947297685,0.908963037,0.103160505,0.074417394,0.717475466,0.865635479,0.90006134,0.841932955,FALSE
0.706326374,0.729149811,0.024974865,0.942006623,0.272587722,0.063797456,0.182320537,0.10591844,TRUE
0.742447064,0.791084892,0.186814807,0.821009002,0.003462226,0.221238713,0.003717982,0.908561659,FALSE
0.943666929,0.954750236,0.285702729,0.705842826,0.16232425,0.138412062,0.992131392,0.009278071,FALSE
0.869533734,0.729920852,0.143244641,0.766749551,0.195512147,0.022844706,0.764686412,0.945886572,TRUE
0.837147654,0.952851657,0.105879119,0.90111365,0.265255161,0.89459295,0.11029898,0.076887018,FALSE
0.877390833,0.78563106,0.138813807,0.846402129,0.084519431,0.843582671,0.104114392,0.918286816,TRUE
0.933846996,0.818269705,0.12532019,0.72004679,0.253690135,0.943825929,0.727505019,0.278993756,TRUE
0.979658531,0.715923702,0.173459318,0.706549955,0.075339091,0.830901323,0.881160622,0.82646285,FALSE
0.747071126,0.727601301,0.178305986,0.909950739,0.703435087,0.245951569,0.131841969,0.251377925,FALSE
0.727272576,0.743837814,0.135949196,0.705089447,0.700428827,0.292406063,0.214403288,0.741184911,TRUE
0.779050058,0.806166154,0.067860055,0.7096843,0.914703327,0.051779761,0.766794239,0.288995599,TRUE
0.890470182,0.778837098,0.298534777,0.936190882,0.757979282,0.037441691,0.818568872,0.937790246,FALSE
0.961673853,0.92923632,0.168559621,0.721813655,0.810095061,0.815134448,0.050267006,0.039237964,TRUE
0.956961608,0.955459082,0.057106116,0.808629917,0.718635535,0.968887917,0.062398776,0.859100913,FALSE
0.796852978,0.962599711,0.103826332,0.861667463,0.875966496,0.769606218,0.771517682,0.001208985,FALSE
0.821345874,0.780228096,0.175201914,0.950134682,0.893890326,0.960770433,0.942576481,0.741309771,TRUE
0.780187446,0.834979407,0.742624542,0.046174566,0.139348524,0.058928356,0.183601253,0.137651709,TRUE
0.934942863,0.833031264,0.801675588,0.028280389,0.200400737,0.096134113,0.189446608,0.730713882,FALSE
0.813083383,0.926249142,0.705789347,0.103720777,0.063449998,0.124945968,0.98383057,0.280230995,FALSE
0.850052823,0.71263502,0.72479139,0.119753113,0.008257308,0.256497914,0.94126636,0.801427865,TRUE
0.728625011,0.706130549,0.805175101,0.035170779,0.185751255,0.917127107,0.136648691,0.069379736,FALSE
0.762342224,0.90571917,0.700862855,0.219582728,0.053602579,0.779637778,0.217693874,0.902585644,TRUE
0.729586456,0.813261237,0.959347842,0.24436982,0.20152055,0.742004526,0.906170228,0.138951126,TRUE
0.953037931,0.819751638,0.813964574,0.202917134,0.105027765,0.706676635,0.922956883,0.789608666,FALSE
0.865692964,0.799992799,0.715963355,0.110001444,0.888730673,0.099089965,0.254808663,0.152294642,FALSE
0.738865541,0.889672025,0.706536215,0.08806935,0.728868998,0.119169318,0.102080339,0.729978477,TRUE
0.732399724,0.816926394,0.970218246,0.231590399,0.744877835,0.270844412,0.924271312,0.141016765,TRUE
0.970729737,0.712506295,0.741039371,0.152097542,0.825976143,0.108193699,0.792404601,0.705248016,FALSE
0.760715914,0.857638252,0.733915184,0.095427873,0.817945243,0.765706208,0.115301414,0.142005755,TRUE
0.954608577,0.783715009,0.703543701,0.228754458,0.792795599,0.702999797,0.249104375,0.920062906,FALSE
0.765330053,0.758572397,0.85970133,0.098733487,0.840373631,0.988668708,0.760985871,0.161405122,FALSE
0.75976571,0.755935117,0.83487077,0.006291041,0.777083877,0.949322639,0.972260352,0.854569666,TRUE
0.920995362,0.954981385,0.889844163,0.8040235,0.234183401,0.029716061,0.04315184,0.06921102,FALSE
0.991203739,0.772686776,0.860684906,0.778914121,0.232844304,0.089430797,0.034772189,0.760173795,TRUE
0.981744302,0.939800598,0.771284212,0.810749898,0.294250219,0.296473247,0.796832461,0.272252634,TRUE
0.713048448,0.873655773,0.706388647,0.726288461,0.168223717,0.149068857,0.983526755,0.957430939,FALSE
0.761439288,0.919494996,0.739165526,0.710611407,0.079624841,0.900616429,0.13765039,0.297002193,TRUE
0.722068872,0.931458454,0.728325355,0.836565434,0.123970735,0.859478878,0.285776077,0.808375067,FALSE
0.917721506,0.892086835,0.906421118,0.821219742,0.1800158,0.939898361,0.959732989,0.092682919,FALSE
0.759438337,0.870902672,0.785790112,0.883235069,0.009272829,0.975423861,0.774684936,0.8825892,TRUE
0.947232783,0.723207721,0.862230463,0.807588885,0.946238631,0.036890094,0.239401374,0.17883612,TRUE
0.891945005,0.892345022,0.967353783,0.717454308,0.982060318,0.082024371,0.091458927,0.932120293,FALSE
0.861106129,0.770053032,0.897587356,0.929114054,0.877687392,0.11236144,0.901219092,0.1396982,FALSE
0.757357788,0.944844471,0.752414075,0.919819511,0.867642895,0.041806601,0.881186706,0.772061157,TRUE
0.891246393,0.919726949,0.829180098,0.742211893,0.764178745,0.838825591,0.044589796,0.044336244,FALSE
0.843137361,0.981269533,0.878706896,0.856292023,0.742319194,0.881862758,0.128677588,0.739832017,TRUE
0.965111857,0.755628596,0.749937298,0.747555447,0.915562389,0.937024257,0.803488536,0.28760043,TRUE
0.887118822,0.848576657,0.729401528,0.78969845,0.816079277,0.886478438,0.985473384,0.952120549,FALSE
